;1;2;3;4;5;6;7;8;9;10;11;12
Brunei Darussalam;1224;922;444;8;17;17;4;8;13;26;9;9
Malaysia;207523;164043;114453;61496;66414;62033;58052;57864;53370;45332;43292;46246
Philippines;18443;14188;6830;1511;1955;1670;806;676;713;1003;1275;1343
Singapore;140569;84681;40832;2074;1334;1129;1166;1328;1397;1616;1931;2435
Thailand;7737;7492;2794;324;510;363;315;290;318;404;376;380
Vietnam;9408;6714;1618;270;293;248;180;190;162;175;169;181
Laos;312;396;38;0;0;0;2;2;0;1;0;2
Kamboja;1159;788;198;2;5;5;13;17;14;15;5;6
Myanmar/Burma;4117;1975;1375;823;760;657;502;485;442;504;490;539
Indonesia;65337;50600;27795;625;648;500;529;984;875;419;1542;1309
Hong Kong;1001;418;196;141;127;106;121;81;98;119;112;105
India;51794;41685;12383;629;689;506;443;365;435;537;986;1272
Japan;33917;41493;13451;132;85;139;218;360;389;616;717;711
South Korea;38830;25223;6083;193;168;252;469;575;644;907;965;1253
Pakistan;1572;1383;759;6;31;6;13;20;22;59;110;129
Bangladesh;7828;2934;1267;148;90;75;36;39;59;101;112;177
Srilanka;2036;1269;586;33;66;49;23;35;27;55;56;65
Taiwan;21694;10590;2172;76;85;96;91;96;167;195;237;181
China;183685;11586;4985;1748;1965;2079;2681;3635;6934;6863;6481;7126
Afganistan;35;37;13;0;0;0;1;2;1;1;0;13
Bhutan;115;59;17;2;0;0;0;0;0;0;0;1
British Indian Ocean Teritory;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;1835;1117;606;0;0;0;2;6;5;29;43;92
Kirgistan;353;135;72;2;0;11;1;8;2;1;10;14
Korea Utara;6;2;0;0;0;1;0;0;0;0;0;0
Macao;32;26;11;6;2;5;12;8;5;6;4;4
Mongolia;1087;285;106;0;0;1;0;0;0;0;1;3
Maladewa;216;154;128;0;0;1;0;0;2;3;2;10
Nepal;1866;1491;529;0;2;1;0;11;2;1;4;9
Stateless;0;0;0;0;0;0;0;0;1;0;0;0
Tajikhistan;61;33;19;0;0;0;1;2;4;3;0;2
Tibet;0;0;0;0;0;0;0;0;0;0;0;0
Timor Leste;97911;80863;86281;83294;81484;81384;84347;88202;75772;81919;72033;81100
Turki;2818;1699;799;67;45;58;91;72;53;96;122;118
Turkmenistan;81;32;10;0;0;0;0;0;0;2;1;1
Uzbekistan;919;483;156;0;0;0;1;2;0;7;11;7
Saudi Arabia;20671;8180;2116;80;64;81;95;129;183;121;107;79
Bahrain;240;92;26;0;1;0;2;2;4;0;1;5
Kuwait;563;223;39;0;0;2;0;1;3;4;3;8
Egypt;1924;1422;632;14;13;8;12;19;46;74;64;109
Uni Emirat Arab;511;230;104;27;34;15;26;24;15;25;29;53
Yaman;929;616;197;0;0;0;15;5;12;32;140;148
Qatar;87;80;20;5;0;2;2;2;6;1;11;9
Irak;331;320;84;1;0;1;3;11;5;10;24;27
Iran;613;511;67;8;3;13;14;24;18;24;29;30
Israel;33;19;12;15;39;46;38;30;23;30;22;31
Jordan;469;366;136;1;3;1;0;1;7;10;14;19
Libanon;339;216;87;0;0;0;1;0;4;3;13;21
Oman;2417;963;185;5;3;1;2;6;1;6;11;12
Palestina;286;218;105;0;0;1;2;0;0;7;19;9
Syiria;161;134;55;1;0;0;3;0;4;9;17;44
Austria;1775;1791;871;11;3;7;13;17;21;74;111;164
Aruba;0;24;0;0;0;0;0;0;0;0;0;0
Belgium;2131;2128;1212;9;5;5;24;9;28;85;124;142
Denmark;3934;4556;1795;6;5;6;14;19;13;41;68;76
France;14938;18535;8108;7;9;23;89;124;128;300;425;752
Germany;16562;17117;11116;24;24;29;54;72;91;226;373;673
I t a l y;5057;5177;1541;112;94;103;108;134;142;204;287;301
Netherlands;14848;13845;8247;518;848;1055;1089;1348;2297;2903;3095;3402
Spain;4272;4095;2219;74;84;104;97;104;108;166;235;271
