;1;2;3;4;5;6;7;8;9;10;11;12
Brunei Darussalam;1?362;1?231;2?265;1?388;1?109;1?248;1?354;1?652;1?694;1?448;1?672;2?855
Malaysia;231?021;255?407;260?448;245?963;253?780;287?051;232?760;258?845;229?173;238?656;247?866;239?783
Philippines;17?402;20?206;24?782;22?683;25?840;23?601;22?780;21?821;20?014;21?591;21?107;19?153
Singapore;128?187;143?220;178?206;148?645;136?961;184?644;144?533;173?179;159?215;154?080;176?312;207?263
Thailand;7?811;8?472;10?851;13?852;11?385;10?201;15?518;12?024;11?682;14?644;10?456;9?803
Vietnam;4?120;6?017;6?599;7?031;7?258;10?025;11?720;10?091;8?822;8?575;8?667;7?099
Laos;166;276;266;306;167;388;693;493;352;311;400;324
Cambodia;678;1?001;954;1?245;1?877;841;1?231;923;1?466;905;1?606;1?116
Myanmar/Burma;2?562;3?409;3?857;4?794;3?706;3?723;3?527;4?018;3?948;4?752;4?212;3?873
Indonesia;54?298;63?128;59?141;44?611;47?812;75?120;47?181;65?769;55?298;48?071;47?408;56?808
Hong Kong;4?882;7?940;5?657;4?178;3?289;3?046;4?351;4?437;3?555;3?513;3?376;2?100
India;48?679;53?577;50?086;48?064;69?693;66?089;53?151;49?664;49?541;50?546;56?034;62?176
Japan;33?344;41?642;43?538;44?090;35?008;37?420;45?103;63?044;53?315;44?122;37?893;41?104
South Korea;33?620;31?847;27?005;26?557;26?814;30?026;39?740;38?923;32?773;34?880;31?588;34?543
Pakistan;1?100;961;1?150;1?330;716;1?315;1?486;1?186;1?310;1?348;1?401;1?360
Bangladesh;4?077;6?324;4?190;4?204;3?739;7?009;5?041;5?854;4?278;5?219;4?302;5?540
Srilanka;1?771;2?043;2?213;3?052;1?952;2?034;2?211;2?693;2?558;2?463;3?020;2?897
Taiwan;17?092;20?612;15?681;14?950;15?392;17?348;19?551;18?658;18?001;18?374;17?005;14?826
China;178?665;199?960;167?995;170?136;164?936;168?269;193?594;193?859;172?856;160?300;147?334;154?175
Afganistan;21;35;80;52;11;16;64;135;95;83;81;30
Bhutan;116;64;66;50;38;64;63;90;85;72;85;74
British Indian Ocean Teritory;0;0;0;0;0;1;1;0;2;0;0;0
Kazakhstan;1?295;773;911;535;502;650;911;825;643;748;692;1?296
Kyrgyzstan;160;157;112;110;84;98;72;97;80;121;105;136
North Korea;5;14;9;48;19;34;9;8;21;13;41;20
Macao;14;30;26;22;31;25;31;32;51;49;39;51
Mongolia;882;540;237;255;162;197;203;276;202;222;356;728
Maldives;218;180;245;258;59;273;308;201;237;248;267;351
Nepal;1?583;1?064;2?483;1?139;1?082;1?175;1?565;1?804;1?393;2?514;1?629;1?546
Stateless;2;4;2;0;0;1;2;0;0;0;0;2
Tajikstan;35;45;39;36;26;33;43;43;22;58;30;38
Tibet;0;0;0;0;173;0;0;0;0;0;0;0
Timor Leste;109?500;89?981;97?080;99?700;98?232;98?450;104?755;104?108;97?603;90?082;82?247;106?643
Turkey;1?703;1?245;1?620;1?746;1?397;2?207;2?271;2?123;2?718;2?454;2?412;1?987
Turkmenistan;37;29;11;13;13;38;40;51;50;20;20;34
Uzbekistan;510;248;227;201;193;246;456;436;291;177;270;501
