;1;2;3;4;5;6;7;8;9;10;11;12
Brunei Darussalam;1?057;1?218;2?196;1?366;1?091;979;1?173;1?157;1?797;1?131;1?278;2?836
Malaysia;207?123;205?944;252?966;214?399;180?063;225?707;202?645;210?158;197?620;173?800;193?590;239?329
Philippines;12?588;13?757;17?896;19?696;21?024;18?828;19?534;19?587;18?405;18?504;18?641;19?414
Singapore;98?089;125?533;168?773;128?656;128?651;145?285;135?008;152?696;154?239;136?146;154?601;241?067
Thailand;7?377;7?259;9?242;13?874;10?622;7?709;15?977;12?207;10?170;12?663;8?397;8?656
Vietnam;4?131;4?684;5?198;7?321;5?860;7?119;10?568;9?180;5?707;6?694;4?710;4?644
Laos;258;276;307;370;230;323;600;491;225;295;208;226
Cambodia;474;485;636;890;673;591;764;645;832;1?121;899;865
Myanmar/Burma;1?441;2?017;2?050;3?520;1?956;2?584;2?344;2?336;2?064;2?581;2?479;3?240
Indonesia;60?832;49?318;57?353;58?970;60?403;76?711;59?224;53?108;49?863;53?332;59?084;66?626
Hong Kong;4?433;8?036;9?083;7?235;7?523;7?510;9?763;9?897;7?640;7?755;6?360;5?947
India;44?960;42?783;46?765;48?032;61?917;55?441;53?019;43?490;45?069;45?794;49?006;59?360
Japan;32?382;42?124;48?047;37?940;36?637;33?716;50?001;66?164;53?678;45?636;39?976;44?272
South Korea;33?453;29?361;25?316;26?576;28?786;25?749;37?174;35?921;28?569;30?284;27?676;30?020
Pakistan;825;877;960;1?130;936;969;1?465;1?501;1?166;1?181;1?138;1?300
Bangladesh;5?432;4?579;5?582;4?687;3?664;6?071;4?085;5?118;3?386;3?994;3?863;6?103
Srilanka;2?246;2?059;2?437;4?672;2?206;1?990;2?668;2?839;2?958;2?897;2?761;2?775
Taiwan;13?385;20?577;19?348;17?610;16?673;17?785;21?261;18?905;17?139;16?950;13?048;15?636
China;101?961;214?484;180?454;185?179;181?342;185?330;226?024;215?352;197?747;183?377;124?848;143?063
Afganistan;36;61;89;38;105;54;90;298;61;176;26;105
Bhutan;44;67;39;51;36;26;47;82;75;69;58;80
British Indian Ocean Teritory;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;599;570;765;499;363;501;641;1?271;401;625;445;1?275
Kyrgyzstan;125;117;78;87;63;55;74;305;80;79;85;89
North Korea;3;14;12;40;18;23;18;379;11;69;21;14
Macao;33;27;31;23;26;25;26;33;32;23;15;15
Mongolia;469;276;264;255;116;100;237;601;210;253;191;707
Maldives;153;190;222;260;123;163;190;341;139;249;186;343
Nepal;1?313;936;1?154;1?162;905;936;1?377;1?497;1?065;1?932;1?380;1?311
Stateless;0;0;0;0;2;0;3;2;0;0;4;0
Tajikstan;35;30;22;31;17;12;38;173;32;64;34;37
Tibet;0;0;0;0;0;0;0;0;0;0;0;0
Timor Leste;153?525;123?772;138?498;150?834;142?775;132?912;163?336;169?768;148?248;145?182;142?424;151?168
Turkey;1?772;1?372;1?555;1?681;1?378;1?538;2?388;2?837;1?935;1?631;1?484;1?290
Turkmenistan;27;30;18;21;22;28;36;145;25;30;26;18
Uzbekistan;424;309;218;213;131;168;292;730;202;265;262;334
Saudi Arabia;15?438;9?216;10?369;9?612;2?872;18?730;37?207;22?779;10?009;9?634;6?721;13?325
Bahrain;167;99;153;162;123;167;376;508;172;144;136;117
Kuwait;508;361;376;403;151;401;948;1?096;309;400;248;350
Egypt;1?312;931;1?380;1?838;809;1?209;1?973;1?954;1?863;1?795;1?244;1?767
